si.no, entrance exams, location, institute name, college name, type, year of inspection of college, fees(approx)
417,MBBS,Orissa,"Hi-Tech Medical College & Hospital, Bhubaneswar",Utkal University,Trust,2005,150
418,MBBS,Orissa,"Hi-Tech Medical College & Hospital, Rourkela",Sambalpur University,Trust,2012,100
419,MBBS,Orissa,Institute of Medical Sciences & SUM Hospital,"Siksha O Anusandhan University,Bhubaneswar",Trust,2024,150
420,MBBS,Orissa,"Instt. Of Medical Sciences & SUM Hospital, Bhubaneswar","Siksha O Anusandhan University,Bhubaneswar",Trust,2007,250
421,MBBS,Orissa,"Kalinga Institute of Medical Sciences, Bhubaneswar","KIIT University (Deemed), Bhubaneswar",Trust,2007,250
422,MBBS,Orissa,"MKCG Medical College, Berhampur",Berhampur University,Govt.,1962,250
423,MBBS,Orissa,"Pt. Raghunath Murmu Medical College and Hospital, Baripada, Odisha","North Odisha University, Baripada, Odisha",Govt.,2017,125
424,MBBS,Orissa,"Saheed Laxman Nayak Medical College & Hospital, Koraput",Berhampur University,Govt.,2017,125
425,MBBS,Orissa,"Saheed Rendo Majhi Medical College & Hospital, Bhawanipatna, Kalahandi",The Kalahandi university,Govt.,2023,100
426,MBBS,Orissa,"SCB Medical College, Cuttack",Utkal University,Govt.,1944,250
427,MBBS,Orissa,"Sri Jagannath Medical College & Hospital, Puri",Utkal University,Govt.,2021,100
428,MBBS,Orissa,"Veer Surendra Sai Institute of Medical Sciences and Research, Burla",Sambalpur University,Govt.,1959,200
429,MBBS,Pondicherry,"Aarupadai Veedu Medical College, Pondicherry","Vinayaka Missions University (Deemed), Salem",Trust,1999,150
430,MBBS,Pondicherry,"Indira Gandhi Medical College & Research Institute, Puducherry",Pondicherry University,Govt.,2010,180
431,MBBS,Pondicherry,"Jawaharlal Institute of Postgraduate Medical Education & Research, Puducherry","Statutory Autonomous, Puducherry",Govt.,1956,200
432,MBBS,Pondicherry,"Mahatma Gandhi Medical College & Research Institute, Pondicherry","Sri Balaji Vidyapeeth (Deemed University), Pondicherry",Trust,2002,250
433,MBBS,Pondicherry,"Pondicherry Institute of Medical Sciences & Research, Pondicherry",Pondicherry University,Trust,2000,150
434,MBBS,Pondicherry,"Sri Lakshmi Narayana Institute of Medical Sciences, Pondicherry","Bharath Institute of Higher Education & Research (Deemed Univ.), Chennai",Trust,2006,250
435,MBBS,Pondicherry,"Sri Manakula Vinayagar Medical College & Hospital, Pondicherry",Pondicherry University,Trust,2006,250
436,MBBS,Pondicherry,"Sri Venkateswaraa Medical College, Hospital & Research Centre, Pondicherry",Pondicherry University,Trust,2007,250
437,MBBS,Pondicherry,"Vinayaka Missions Medical College, Karaikal, Pondicherry","Vinayaka Missions University (Deemed), Salem",Trust,1997,150
438,MBBS,Punjab,"Adesh Institute of Medical Sciences & Research, Bhatinda","Adesh University, Bathinda",Trust,2006,150
439,MBBS,Punjab,"All India Institute of Medical Sciences, Bhatinda","Statutory Autonomous, AIIMS(New Delhi)",Govt.,2019,100
440,MBBS,Punjab,"Chintpurni Medical College, Pathankot, Gurdaspur","Baba Farid University of Health Sciences,Faridkot",Trust,2011,150
441,MBBS,Punjab,"Christian Medical College, Ludhiana","Baba Farid University of Health Sciences,Faridkot",Trust,1953,100
442,MBBS,Punjab,"Dayanand Medical College & Hospital, Ludhiana","Baba Farid University of Health Sciences,Faridkot",Trust,1963,100
443,MBBS,Punjab,"Dr B R Ambedkar State Institute of Medical Sciences, SAS Nagar , Mohali","Baba Farid University of Health Sciences,Faridkot",Govt.,2021,100
444,MBBS,Punjab,"Gian Sagar Medical College & Hospital, Patiala","Baba Farid University of Health Sciences,Faridkot",Trust,2020,150
445,MBBS,Punjab,"Government Medical College, Amritsar","Baba Farid University of Health Sciences,Faridkot",Govt.,1943,250
446,MBBS,Punjab,"Government Medical College, Patiala","Baba Farid University of Health Sciences,Faridkot",Govt.,1953,250
447,MBBS,Punjab,"Guru Govind Singh Medical College, Faridkot","Baba Farid University of Health Sciences,Faridkot",Govt.,1973,150
448,MBBS,Punjab,"Punjab Institute of Medical Sciences, Jalandhar","Baba Farid University of Health Sciences,Faridkot",Trust,2011,150
449,MBBS,Punjab,RIMT Medical College and Hospital,RIMT University,Trust,2024,50
450,MBBS,Punjab,"Sri Guru Ram Das Institute of Medical Sciences and Research, Sri Amritsar","Sri Guru Ram Das University of Health Sciences, Sri Amritsar",Trust,1997,150
451,MBBS,Rajasthan,"All India Institute of Medical Sciences, Jodhpur","Statutory Autonomous, AIIMS(New Delhi)",Govt.,2012,125
452,MBBS,Rajasthan,"American International Institute of Medical Sciences, Bedwas","Marwar Medical University, Jodhpur",Private,2016,150
453,MBBS,Rajasthan,"Ananta Institute of Medical Sciences & Research Centre, Rajsamand","Marwar Medical University, Jodhpur",Society,2016,150
454,MBBS,Rajasthan,"Dr SN Medical College, Jodhpur","Marwar Medical University, Jodhpur",Govt.,1965,250
455,MBBS,Rajasthan,Dr S S Tantia Medical College Hospital & Research Centre,Tantia University,Private,2021,150
456,MBBS,Rajasthan,"Employees State Insurance Corporation Medical College,Alwar",Rajasthan University of Health Sciences,Govt.,2021,100
457,MBBS,Rajasthan,"Geetanjali Medical College & Hospital,Udaipur","Geetanjali University , Udaipur",Trust,2008,250
458,MBBS,Rajasthan,"Government Medical College, Alwar",Rajasthan University of Health Sciences,Govt.,2023,100
459,MBBS,Rajasthan,"Government Medical College, Banswara","Marwar Medical University, Jodhpur",Govt-Society,2024,100
460,MBBS,Rajasthan,"Government Medical College, Baran",Rajasthan University of Health Sciences,Govt.,2024,100
461,MBBS,Rajasthan,"Government Medical College, Barmer","Marwar Medical University, Jodhpur",Govt.,2019,100
462,MBBS,Rajasthan,"Government Medical College, Bharatpur, Rajasthan",Rajasthan University of Health Sciences,Govt.,2018,150
463,MBBS,Rajasthan,"Government Medical College, Bhilwara, Rajasthan","Marwar Medical University, Jodhpur",Govt.,2018,150
464,MBBS,Rajasthan,"Government Medical College, Bundi",Rajasthan University of Health Sciences,Govt.,2023,100
465,MBBS,Rajasthan,"Government Medical College, Chittorgarh","Marwar Medical University, Jodhpur",Govt.,2022,100
466,MBBS,Rajasthan,"Government Medical College, Churu",Rajasthan University of Health Sciences,Govt.,2018,150
467,MBBS,Rajasthan,"Government Medical College, Dausa",Rajasthan University of Health Sciences,Govt.,2023,100
468,MBBS,Rajasthan,"Government Medical College, Dholpur",Rajasthan University of Health Sciences,Govt.,2022,100
469,MBBS,Rajasthan,"Government Medical College, Dungarpur","Marwar Medical University, Jodhpur",Govt.,2018,150
470,MBBS,Rajasthan,"Government Medical College, Hanumangarh","Marwar Medical University, Jodhpur",Govt.,2023,100
471,MBBS,Rajasthan,"Government Medical College, Jhunjhunu",Rajasthan University of Medical Sciences,Govt.,2024,100
472,MBBS,Rajasthan,"Government Medical College, Karauli",Rajasthan University of Health Sciences,Govt.,2023,100
473,MBBS,Rajasthan,"Government Medical College, Kota",Rajasthan University of Health Sciences,Govt.,1992,250
474,MBBS,Rajasthan,"Government Medical College, Nagaur","Marwar Medical University, Jodhpur",Govt.,2024,100
475,MBBS,Rajasthan,"Government Medical College, Pali, Rajasthan","Marwar Medical University, Jodhpur",Govt.,2018,150
476,MBBS,Rajasthan,"Government Medical College, Sawai Madhopur",Rajasthan University of Health Sciences,Govt.,2024,100
477,MBBS,Rajasthan,"Government Medical College, Sirohi","Marwar Medical University, Jodhpur",Govt.,2022,101
478,MBBS,Rajasthan,"Government Medical College, Sri Ganganagar","Marwar Medical University, Jodhpur",Govt.,2022,100
479,MBBS,Rajasthan,"Jaipur National University Institute of Medical Sciences and Resarch Centre, Jagatpura, Jaipur",Jaipur National University (Private Univ.),Private,2016,250
480,MBBS,Rajasthan,"Jawaharlal Nehru Medical College, Ajmer",Rajasthan University,Govt.,1965,250
481,MBBS,Rajasthan,"Jhalawar Medical College, Jhalawar",Rajasthan University,Govt.,2008,200
482,MBBS,Rajasthan,JIET Medical College And Hospital,"Marwar Medical University, Jodhpur",Trust,2024,50
483,MBBS,Rajasthan,"Mahatma Gandhi Medical College and Hospital, Sitapur, Jaipur","Mahatma Gandhi University of Medical Science & Technology, Jaipur",Trust,2001,250
484,MBBS,Rajasthan,"National Institute of Medical Science & Research, Jaipur","NIMS University (Deemed), Jaipur",Trust,2004,250
485,MBBS,Rajasthan,"Pacific Institute of Medical Sciences, Umarda, Udaipur","Sai Tirupati University, Udaipur",Society,2015,200
486,MBBS,Rajasthan,"Pacific Medical College & Hospital, Bhilo Ka Bedla, Udaipur","Pacific Medical University, Udaipur",Trust,2014,150
487,MBBS,Rajasthan,"R N T Medical College, Udaipur","Marwar Medical University, Jodhpur",Govt.,1961,250
488,MBBS,Rajasthan,"RUHS College of Medical Sciences, Jaipur",Rajasthan University of Health Sciences,Govt.,2014,150
489,MBBS,Rajasthan,"Sardar Patel Medical College, Bikaner","Marwar Medical University, Jodhpur",Govt.,1959,250
490,MBBS,Rajasthan,"Shri Kalyan Govt. Medical College, Sikar, Rajasthan",Rajasthan University of Health Sciences,Govt.,2020,100
491,MBBS,Rajasthan,"SMS Medical College, Jaipur",Rajasthan University of Health Sciences,Govt.,1947,250
492,MBBS,Rajasthan,Sudha Medical College,Rajasthan University of Health Sciences,Society,2024,100
493,MBBS,Rajasthan,Vyas Medical College & Hospital,"Marwar Medical University, Jodhpur",Private,2024,100
